timestamp,open,high,low,close,volume
1731330000000,153.791,153.952,153.717,153.77,25080.7695
1731333600000,153.77,153.91,153.643,153.844,31984.4609
1731337200000,153.843,153.945,153.801,153.857,26763.0605
1731340800000,153.858,153.907,153.77,153.822,18197.0605
1731344400000,153.823,153.909,153.773,153.877,16223.2402
1731348000000,153.877,153.878,153.746,153.804,14923.1797
1731351600000,153.804,153.81,153.729,153.764,14013.3799
1731355200000,153.765,153.767,153.626,153.647,16157.5195
1731358800000,153.647,153.729,153.628,153.701,4836.48
1731362400000,153.701,153.723,153.651,153.723,1048.51
1731366000000,153.724,153.769,153.469,153.521,7574.3198
1731369600000,153.52,153.811,153.483,153.765,26535.0293
1731373200000,153.767,153.964,153.74,153.961,27918.8906
1731376800000,153.957,154.061,153.738,153.807,25335.0508
1731380400000,153.812,153.815,153.576,153.654,20851.5703
1731384000000,153.654,153.654,153.483,153.5,21399.1797
1731387600000,153.5,153.613,153.403,153.611,20225.3105
1731391200000,153.615,153.829,153.61,153.781,20016.7305
1731394800000,153.781,153.891,153.702,153.821,30626.3594
1731398400000,153.82,153.945,153.704,153.935,37421.4414
1731402000000,153.938,154.166,153.886,154.105,33500.4805
1731405600000,154.106,154.122,153.978,154.049,26313.3496
1731409200000,154.05,154.138,153.931,154.071,25947.1699
1731412800000,154.072,154.189,153.999,154.073,25742.7207
1731416400000,154.074,154.395,154.054,154.38,35215.0117
1731420000000,154.379,154.494,154.288,154.414,31924.7305
1731423600000,154.415,154.548,154.324,154.518,35279.9219
1731427200000,154.52,154.766,154.459,154.741,30442.7109
1731430800000,154.74,154.923,154.71,154.784,29164.1797
1731434400000,154.784,154.856,154.722,154.728,22177.5195
1731438000000,154.729,154.762,154.668,154.748,20007.5098
1731441600000,154.748,154.783,154.545,154.578,22422.7891
1731445200000,154.579,154.668,154.51,154.594,6385.5698
1731448800000,154.593,154.649,154.514,154.522,2025.59
1731452400000,154.522,154.665,154.503,154.656,6213.8101
1731456000000,154.656,154.931,154.651,154.931,25442.5996
1731459600000,154.931,154.938,154.596,154.602,32048.9805
1731463200000,154.602,154.806,154.539,154.738,24317.0293
1731466800000,154.739,154.896,154.688,154.803,23995.9395
1731470400000,154.803,154.889,154.748,154.847,21618.6602
1731474000000,154.848,154.934,154.774,154.914,25485.0605
1731477600000,154.912,155.154,154.894,155.04,26825.8906
1731481200000,155.041,155.118,154.926,155.112,30731.6191
1731484800000,155.113,155.236,154.964,155.007,34985.4414
1731488400000,155.008,155.063,154.794,154.895,30751.5
1731492000000,154.895,154.997,154.872,154.991,21423.2402
1731495600000,154.992,155.032,154.802,154.818,18951.4609
1731499200000,154.818,154.96,154.749,154.922,27644.1309
1731502800000,154.923,155.067,154.413,154.507,53244.3008
1731506400000,154.51,154.883,154.338,154.834,65071.0898
1731510000000,154.834,155.137,154.797,154.985,64603.6211
1731513600000,154.985,155.299,154.981,155.282,41774.1016
1731517200000,155.281,155.43,155.221,155.41,26205.4805
1731520800000,155.41,155.614,155.403,155.595,21242.2793
1731524400000,155.596,155.622,155.426,155.543,24638.7793
